Age,VIN
1,5N1AR18W25C758884
1,KMHLL4AG7MU210550
1,7MMVABBM2SN319162
1,3N1CE2CP0FL404644
1,JN8AZ08TX5W311579
2,KNMAT2MV3FP547535
2,1C4NJCBA9GD743043
2,3N1AB8DV4PY240836
2,1FMCU0F70GUB91200
2,5N1AZ2CJ1LN104574
2,2C3CDZJG1NH218442
2,5YFEPMAE9MP154351
2,KMHRB8A33LU032233
2,JTDEPMAE6NJ206699
2,1HD1FHW132Y614481
2,3GCPCREC9HG470144
2,5N1BT3BA4NC728588
2,5N1BT3AA8PC881219
2,1GCRCPEC1JZ313629
3,1N4BL4CV4MN385768
3,3N1AB7AP3EY282881
3,3N1AB7AP1FY336910
3,1D7RB1GTXBS696614
3,3N1CP5BV1LL578925
4,2T1BURHE5GC609599
4,5NMJE3AE1PH180035
4,JN1AZ4EH7EM636899
4,KNDJP3A50E7027726
4,JN8AT2MT1LW013387
4,JTEBU5JRXG5377516
4,3C4NJDCN2PT523244
5,1N4AL3AP0GN333682
5,1FMCU9G91FUA21608
6,5J6RM3H7XFL024077
6,WBA3A5C51DF600296
6,1GTV2VEC5FZ443832
6,1N4BL4EV3KC106185
6,3N1AB7AP2HL720842
7,1HGCT1B87HA003160
7,KMHLP4DG8RU662465
7,5N1DR2MN1KC643107
8,1J4GS48K55C570758
8,3C4NJCBB5LT242048
8,5NPEU46C78H357189
8,5N1AT3BA6MC784882
9,2D4FV47V77H900133
10,5N1BT3BB3RC750127
10,5N1DR2ANXLC609902
10,3N1CP5CV4ML540847
10,1C4JJXP60PW515950
10,3N1CN8EVXML833270
10,JN1BJ1AW7MW443699
10,3N1CP5CV8LL569542
10,JN8AT3BA8MW012729
10,1N4BL4EV3LC236405
10,JN1EV7BR4MM753012
10,5NPLM4AG3NH063804
10,3N1AB8CV9PY281156
10,KM8K12AA0MU639868
10,5NMS34AJXNH427515
10,JN8AY2AC0M9146387
10,5N1BT3AA3PC747007
10,19XFL2H83PE019103
10,5N1AZ2BJ2PC131138
10,1G1ZD5ST4PF219043
10,1N6AA1EE4PN110183
10,WAUFNCF54KA026773
10,1G1FB1RX2M0112999
10,3N1CP5BV4LL551265
10,JN8BT3BA7PW421961
10,5N1BT3BB8PC843898
10,5N1BT3BA7PC762639
10,5N1BT3BA6PC837721
10,5N1BT3BA6PC754886
10,5N1BT3BA1PC838341
10,JN1BJ1CP7KW523779
10,1N4AL3AP4EC411339
10,1N4BL4CV2KN328269
10,3N1CE2CP0JL353509
10,5N1DR3DG0RC215000
11,JN8AS5MT3EW600889
11,1N4AA5AP2CC823953
11,1FTFW1EG3JKC66543
11,4T1BK1EB1EU087132
12,JM1BK32F481836406
12,5N1AT3BA3MC680768
13,JN8AT2MT3KW256990
13,2HGES16514H576448
13,SAJWA6AT4F8K20904
13,5N1AT2MT4JC797022
13,5XYZT3LB3EG131955
13,4T1BE46K57U118201
14,3KPF54AD5NE472519
14,5N1BT3BA8PC846212
14,1D4GP25E16B637750
14,KMHL14JC5PA266589
14,1N4BL4CW8NN419799
14,3N1AB8CV3MY235558
15,3N1AB8DV3MY233128
15,1G1ZD5ST6SF124380
15,KNADH4A30A6651733
15,5YJ3E1EA3KF313702
16,JTMZF4DV5AD028969
16,5NMJA3AE1PH284150
16,4T3ZK11A29U007958
16,5NPE34AF7FH063129
17,1B3HB28B08D776648
17,5XXGT4L32LG442249
17,5NMS4DAL1PH532039
17,KM8J3CAL2KU976732
17,WMW53DK00R2V41372
17,KMHTC6AD8HU317372
17,5XXG34J20NG139886
17,1C6RR7GT1FS636839
17,4T1G11AK8PU821802
17,5NPLL4AG6NH081295
17,3GNAXKEVXNL267440
17,ZACCJABB1JPH20420
17,KM8K2CAB2PU055309
17,1N6AA1F3XHN563769
17,2C3CDZJG6NH263795
17,2T3H1RFV0LC039602
17,1HGCV1F46NA026779
17,5J6RM3H76EL018193
17,3N1AB8DV9LY220690
17,JN1BJ1CV7LW540923
18,3N6CM0KN1FK730525
18,KNMAT2MT5FP536518
18,1FATP8UH2L5184782
18,5N1AT3AA6MC839283
18,3N1AB7AP0HY219189
20,3N1AB61E99L654185
21,2G1105S35K9107247
21,5N1AZ2MG7FN268628
22,1C4PJMDN2KD134206
22,4T1B11HK8JU059286
22,3N1CN8FV5SL836234
23,1HGCR3F96DA046802
23,3N1AB8BV8NY275881
23,1GCPDKEK7NZ629539
23,1GKKNWLS8HZ240287
23,4S3GTAM60P3703701
23,5XYPH4A54LG678984
23,5N1BT3BA6NC728575
23,3N1AB8BV7PY300420
23,KM8K62AB4PU944742
23,3N1CN8EV0PL854178
23,3N1CN8DVXRL930204
23,1N4BL4EV0NN418232
23,WDC0G8EB5LF695592
24,3N1AB8CVXPY228143
24,3N1CP5CVXPL524799
25,KNMAT2MT7GP689077
25,KNDMG4C70C6433137
26,1VWBT7A36HC005549
27,5N1AZ2MG1JN197189
27,JN1BJ1BV8MW567048
28,2HKRW1H86KH512244
28,1G1ZD5ST8PF252790
28,2HKRW1H58NH406727
29,3N1AB8BV3SY214644
29,3KPA24AD1LE314551
33,KNAFX4A86F5261949
33,5XYPG4A33LG699892
34,1N4BL4BV2MN370431
34,WAUDFAFL3FN005449
35,3N1AB7AP1HY203096
36,1GYKPDRS1PZ143524
36,1G1ZD5ST0RF178509
36,1N6AA1ED7MN526599
38,5NMJB3DE0RH333981
38,1FTFW1E53PKE02130
38,1C6RREJT0RN219793
38,5NMS44AL8NH446742
38,3N1CP5CU0KL550683
38,3VVRX7B22NM062189
38,KL7CJPSB7KB814569
38,1FTFW1E56PKD96386
38,KM8J33AL6MU382440
38,JN1AF0BA2PM410264
39,1N4BL4BV0RN393083
41,5YJ3E1EA4JF045239
41,JN8AZ1MW4CW228460
43,1N4BL4BV9RN341791
43,7SAYGDEE8PA147687
43,5N1BT3AA6SC775988
44,JA4ATWAA8RZ063839
45,SALYA2EX2KA792286
45,JF2GTHNC2N8203747
45,3FMCR9B6XRRE87032
47,KNMAT2MT7JP558254
47,3N1AB7AP6GY237730
52,5N1DR3AA7RC239391
52,5N1DR3AA2RC239086
52,5N1DR3AA0RC239488
52,5YFB4MDE4SP233043
52,3N1AB8CV0NY244560
52,3VW7M7BU4PM028335
53,WMZ53BR03P3P83898
56,3N1CE2CP5HL365942
